OTOPARK_ADI;ILCE;MAHALLE;ADRES;YER_TARIFI;ACILIS_SAATI;KAPANIS_SAATI;KAPASITE;ENLEM;BOYLAM
"BOSTANLI VAPUR İSKELESİ";"KARŞIYAKA";"BOSTANLI";"Hasan Ali Yücel Bulvarı no: 37/1";"BOSTANLI VAPUR İSKELESİ YANI";"07:00";"23:00";"110";"38.4534243508056";"27.0982552154066"
"SABANCI OTOPARKI";"KONAK";"YEŞİLTEPE";"Mustafa Kemal Sahil Bulvarı No: 25";"SABANCI KÜLTÜR MERKEZİ YANI";"07:00";"21:00";"41";"38.4143927794698";"27.1229284604112"
"PELİKAN";"KARŞIYAKA";"DONANMACI";"NO:51";"KARŞIYAKA NİKAH SARAYI YANI";"00:00";"24:00";"135";"38.4499014857584";"27.1129167223392"
"KARŞIYAKA ANAYASA";"KARŞIYAKA";"TUNA";"";"Karşıyaka Muammer Aksoy Parkı ile Karşıyaka Anayasa Meydanı Atatürk Anıtı arasında";"00:00";"24:00";"133";"38.4566800651089";"27.1252417286874"
"KARŞIYAKA İSKELE OTOPARKI";"KARŞIYAKA";"DONANMACI";"";"KARŞIYAKA VAPUR İSKELESİ YANI";"00:00";"24:00";"41";"38.4543576382526";"27.1189337159708"
"İNCİRALTI ÇINAR OTOPARKI";"BALÇOVA";"BAHÇELERARASI";"";"HAYDAR ALİYEV BULVARI ÜZERİ, BALÇOVA İLÇE EMNİYET MÜDÜRLÜĞÜ YANI";"08:00";"22:00";"353";"38.4089441364354";"27.0398564640529"
"İNCİRALTI TİYATRO OTOPARKI";"BALÇOVA";"BAHÇELERARASI";"";"HAYDAR ALİYEV BULVARI İNCİRALTI AÇIK HAVA TİYATROSU ÖNÜ";"08:00";"22:00";"253";"38.4090104921723";"27.0374027907374"
"KOCAKAPI OTOPARKI";"KONAK";"KOCAKAPI";"1250 SK";"";"08:00";"15:30";"146";"38.4215072252963";"27.1492014806579"
"GÜNEŞLİ OTOPARKI";"KONAK";"GÜNEŞLİ";"515/3 SK. NO:10-20";"";"07:00";"23:00";"136";"38.4031905492689";"27.1269826210994"
"GAZİEMİR SAKARYA OTOPARKI";"GAZİEMİR";"BEYAZEVLER";"341 SK NO:1";"OPTİMUM AVM YANI";"07:00";"22:00";"331";"38.3360300877429";"27.1353403067466"
"SMYRNA AÇIK ALAN OTOPARKI";"BAYRAKLI";"ADALET";"1586/14 SK";"FOLKART ÖNÜ";"07:00";"22:00";"145";"38.4527825334652";"27.1771837232326"
