BLOK_ADI;ILCE;MAHALLE;ADRES_VEYA_TARIF;ACILIS_SAATI;KAPANIS_SAATI;KAPASITE;ENLEM;BOYLAM
"A";"KONAK";"TURGUT REİS";"MUSTAFA KEMAL SAHİL BULVARI (303 SK. İLE 302 SK. ARASINDA)";"00:00";"24:00";"220";"38.4004713";"27.09429596"
"B";"KONAK";"TURGUT REİS";"MUSTAFA KEMAL SAHİL BULVARI (302 SK. İLE 270/1 SK. ARASINDA)";"00:00";"24:00";"74";"38.40992599";"27.11745692"
"C";"KONAK";"AKIN SİMAV";"MUSTAFA KEMAL SAHİL BULVARI (270/1 SK. İLE NAZAR APT. KESİŞİMİNDE )";"00:00";"24:00";"111";"38.40962774";"27.11525942"
"D";"KONAK";"MİTHATPAŞA";"MUSTAFA KEMAL SAHİL BULVARI (187 SK. İLE KARANTİNA MEYDANI ARASINDA  )";"00:00";"24:00";"152";"38.40961548";"27.11266264"
"E";"KONAK";"ÇANKAYA";"MUSTAFA KEMAL SAHİL BULVARI (KÖPRÜ DURAĞI İLE ŞEHİT CEYSU CEYLAN SOKAK ARASI / KÜÇÜKYALI )";"00:00";"24:00";"239";"38.40881186";"27.10942538"
"F";"KONAK";"ÇANKAYA";"MUSTAFA KEMAL SAHİL BULVARI (128 SK. KÖPRÜ DURAĞI CİVARI )";"00:00";"24:00";"67";"38.40648506";"27.10060914"
"H";"KONAK";"ÇANKAYA";"MUSTAFA KEMAL SAHİL BULVARI (99/1 SK İLE  SADIK BEY DURAĞI CİVARI )";"00:00";"24:00";"110";"38.40516688";"27.09795149"
"K";"KONAK";"GÖZTEPE";"MUSTAFA KEMAL SAHİL BULVARI (98 SK. İLE 99/1 SK ARASINDA )";"00:00";"24:00";"61";"38.40341206";"27.0961896"
"L";"KONAK";"GÖZTEPE";"MUSTAFA KEMAL SAHİL BULVARI (103 SK. İLE 103/2  SK ARASINDA )";"00:00";"24:00";"43";"38.40246241";"27.0950947"
"M";"KONAK";"GÖZTEPE";"MUSTAFA KEMAL SAHİL BULVARI (95 SK. İLE 103 SK.  ARASINDA )";"00:00";"24:00";"89";"38.40126507";"27.09263629"
"Nazar";"KONAK";"AKIN SİMAV";"MUSTAFA KEMAL SAHİL BULVARI (MİTHATPAŞA CD. NAZAR APT. NO: 530 YANI )";"00:00";"24:00";"29";"38.40936589";"27.11096774"
"N";"KONAK";"GÖZTEPE";"MUSTAFA KEMAL SAHİL BULVARI (79 SK. İLE 95 SK. ARASINDA )";"00:00";"24:00";"108";"38.39894863";"27.0899988"
"O";"KONAK";"GÜZELYALI";"MUSTAFA KEMAL SAHİL BULVARI (40/1 SK. İLE 79 SK. ARASINDA)";"00:00";"24:00";"243";"38.39811792";"27.08671032"
"P";"KONAK";"GÜZELYALI";"MUSTAFA KEMAL SAHİL BULVARI (19/1 SK. İLE 40/1 SK. ARASINDA)";"00:00";"24:00";"284";"38.3993227";"27.08232713"
"PG";"KONAK";"MİTHATPAŞA";"MUSTAFA KEMAL SAHİL BULVARI (ŞEHİT CEYSU CEYLAN SK. / KARANTİNA MEYDANI ARASINDA )";"00:00";"24:00";"40";"38.40753814";"27.10400115"
"R";"KONAK";"MEHMET ALİ AKMAN";"MUSTAFA KEMAL SAHİL BULVARI (16 SK.)";"00:00";"24:00";"34";"38.39971834";"27.07714209"
"S";"KONAK";"GÖZTEPE";"SUSUZDEDE PARKI YANI";"00:00";"24:00";"51";"38.39870343";"27.09411927"
