OTOPARK_ADI,ILCE,MAHALLE,ADRES,EK_BILGI,ACILIS_SAATI,KAPANIS_SAATI,KAPASITE,ENLEM,BOYLAM
"KONAK KATLI","KONAK","KONAK","MİLLİ KÜTÜPHANE CD. NO:41","","00:00","24:00","888","38.4156298305857","27.1293973233848"
"ÇANKAYA KATLI","KONAK","NAMAZGAH","939 SK. NO:1 MEZARLIKBAŞI","","00:00","24:00","1170","38.4200426501814","27.1378165403095"
"ALSANCAK PUNTA","KONAK","ALSANCAK","1475 SK NO:2","","00:00","24:00","550","38.4411148398105","27.1457379614935"
"ALSANCAK TAM OTOMATİK","KONAK","MİMAR SİNAN","1408 SK. NO:8","","00:00","24:00","280","38.4336132170957","27.1447700048745"
"KÜLTÜRPARK YER ALTI","KONAK","MİMAR SİNAN","26 AĞUSTOS KAPISI GİRİŞİ KÜLTÜRPARK İÇİ","","00:00","24:00","594","38.4300654891564","27.1452224143463"
"KAHRAMANLAR KATLI","KONAK","KAHRAMANLAR","1424 SK. NO:21","","00:00","24:00","1143","38.428445169086","27.1522336534233"
"ALSANCAK YER ALTI","KONAK","MİMAR SİNAN","1486 SK. ATATÜRK KAPALI SPOR SALONU ÖNÜ","","00:00","24:00","133","38.433888407432","27.1476040670609"
"MİMAR KEMALETTİN KATLI","KONAK","AKDENİZ","MİMAR KEMALETTİN CD. NO:7","PAZAR GÜNLERİ KAPALI","07:00","23:00","194","38.4236222222222","27.133"
"AHMED ADNAN SAYGUN SANAT MERKEZİ","KONAK","MEHMET ALİ AKMAN","MİTHATPAŞA CD. NO:1087/1 ","","00:00","24:00","214","38.3974254587111","27.0783162385785"
"ALAYBEY KATLI","KARŞIYAKA","BAHARİYE","HİDAYET ERZEYBEK CD. NO:28","","00:00","24:00","561","38.4609184720674","27.1203326794086"
"BAHRİYE ÜÇOK YOL ALTI","KARŞIYAKA","BAHARİYE","BAHRİYE ÜÇOK BULVARI","","00:00","24:00","268","38.4603328887585","27.1146898269263"
"BORNOVA KATLI","BORNOVA","ERGENE","554 SK. NO:5","","00:00","24:00","290","38.4650462237254","27.2150315634076"
"BOSTANLI KATLI","KARŞIYAKA","BOSTANLI","ŞEHİTLER BULVARI NO:28/2","","00:00","24:00","254","38.4581022783058","27.0999626336494"
"BUCA KASAPLAR MEYDANI YERALTI","BUCA","MENDERES","132 SK. NO:1/39","","00:00","24:00","136","38.3883052413268","27.1746551695858"
"EŞREFPAŞA KATLI","KONAK","FATİH","BİRLEŞMİŞ MİLLETLER CD. NO:48/A","","00:00","24:00","150","38.4106976571416","27.1276538898474"
"GAZİEMİR KATLI","GAZİEMİR","BİNBAŞI REŞAT BEY","AKÇAY CD.NO:33","","09:00","17:00","291","38.3570334268623","27.1359671036077"
"HAKİMEVLERİ KATLI","KONAK","ÇANKAYA","BAHATTİN TATIŞ SK. NO:17","","00:00","24:00","465","38.402546808698","27.0979617120647"
"HATAY PAZAR YERİ KATLI","KONAK","MURAT REİS","255 SK. NO:11/2","","00:00","24:00","328","38.4035824266069","27.1100478160301"
"KARABAĞLAR SELVİLİ","KARABAĞLAR","SELVİLİ","ŞEHİT PİLOT VOLKAN KOÇYİĞİT BULVARI NO:44","","00:00","24:00","160","38.3779067189017","27.1315365817128"
"YEŞİLYURT KÜLTÜR MERKEZİ YERALTI","KARABAĞLAR","ESENLİK","ORDU CD. NO: 106-110","","00:00","24:00","168","38.3976483545443","27.1120280515417"
"GÖZTEPE KATLI","KONAK","GÖZTEPE","SUSUZDEDE PARKI ALTI","ABONE OTOPARKI","00:00","24:00","191","38.4004712978489","27.0942959554229"
"SYMRNA TAM OTOMATİK","BAYRAKLI","ADALET","1600/3 SK. NO:12","","00:00","24:00","636","38.4518652366977","27.176359334737"
"YENİŞEHİR GIDA ÇARŞISI","KONAK","YENİŞEHİR","1145/1 SOKAK NO:55","PAZAR GÜNLERİ KAPALI","07:00","20:00","62","38.425880555","27.162752777"
