OTOPARK_ADI,ILCE,MAHALLE,ADRES_VEYA_TARIF,ACILIS_SAATI,KAPANIS_SAATI,KAPASITE,ENLEM,BOYLAM
"1359 SK.","KONAK","MİMAR SİNAN","(1359 SK. ÜZERİNDE VE 1421 SK. İLE KESİŞİMİNDE)","07:00","21:00","37","38.4330784546655","27.1504722714245"
"1362 SK.","KONAK","İSMET KAPTAN","(1362 SOKAĞIN; DR. REFİK SAYDAM BULVARI İLE 1373 SK. ARASINDAKİ KISMINDA)","07:00","21:00","28","38.4262681712362","27.1413314661762"
"İZULAŞ YOL","KONAK","İSMET KAPTAN","DR. REFİK SAYDAM BULVARI ÜZERİ ; MONTRÖ MEYDANINDAN BASMANE İSTİKAMETİNE GİDERKEN MONTRÖ MEYDANI İLE 1362 SK. KESİŞİMİNE KADAR OLAN SAĞ TARAFTAKİ YOL KENARI OTOPARKI","07:00","21:00","17","38.426763888","27.141588888"
"1380 SK.","KONAK","KÜLTÜR","(1380 SOKAĞIN; CUMHURİYET BULVARI İLE 1383 SK. KESİŞİMİ ARASINDAKİ KISMINDA)","07:00","22:00","25","38.4315651298629","27.1381255421627"
"1393 SK.","KONAK","MİMAR SİNAN","1393 SK. ÜZERİNDEKİ OTOPARK CEPLERİ","07:00","21:00","61","38.4324947661141","27.1450715275135"
"1420 SK.","KONAK","MİMAR SİNAN","(1420 SOKAĞIN;  ALİ ÇETİNKAYA BULVARI İLE MİMAR SİNAN CD. ARASINDA KALAN KISMINDA )","07:00","21:00","43","38.4322916125867","27.149772733208"
"1421 SK.","KONAK","MİMAR SİNAN","(1421 SOKAĞIN; MİMAR SİNAN CD. İLE CAN KULDUK SK. KESİŞİMİ İLE NEVZAT GÜZELIRMAK SOKAK ÜZERİNDEKİ  GAZİ HASTANESİ KARŞISINDAKİ OTOPARK CEBİ ALANINDA )","07:00","21:00","60","38.4307783097479","27.1517314011461"
"1486 SK.","KONAK","MİMAR SİNAN","1486 SK. ÜZERİNDEKİ OTOPARK CEPLERİ KISMINDA","07:00","21:00","19","38.4342673316828","27.148383667991"
"ALİ ÇETİNKAYA BULVARI","KONAK","MİMAR SİNAN","ALİ ÇETİNKAYA BULVARININ; ZİYA GÖKALP BULVARI İLE 1394 SK. KESİŞİMİ ARASINDAKİ KISMINDA","07:00","21:00","30","38.4333492503958","27.1481994144254"
"BEHÇET UZ ÇOCUK HASTANESİ","KONAK","İSMET KAPTAN","SEZER DOĞAN SOKAĞIN (1374 SK. ); ŞEHİT NEVRES BULVARI İLE 1373 SK. KESİŞİMİ ARASINDAKİ OTOPARK CEBİ KISMINDA)","07:00","21:00","16","38.4277725466248","27.1394585993629"
"FUAR 26 AĞUSTOS","KONAK","MİMAR SİNAN","(KÜLTÜRPARK  26 AĞUSTOS KAPISI KARŞISI) DR. MUSTAFA ENVER BEY CADDESİNİN; ZİYA GÖKALP BULVARI İLE 1393 SK. KESİŞİMİ ARASINDA KALAN CEP KISMINDA)","07:00","21:00","14","38.4314339764618","27.1445487378219"
"KAZIM DİRİK","KONAK","AKDENİZ","VALİ KAZIM DİRİK CADDESİNİN; GAZİ OSMAN PAŞA BULVARI İLE HALİT ZİYA BULVARI KESİŞİMİ ARASINDAKİ YOL KENARI ALANDA","06:30","21:00","26","38.4254290437961","27.1352299946183"
"KIZ MESLEK LİSESİ","KONAK","KÜLTÜR","(1379 SOKAĞIN; VASIF ÇINAR BULVARI İLE 1378 SK. KESİŞİMİ ARASINDAKİ KISMINDA)","07:00","21:00","37","38.4297631101218","27.1392474901817"
"KONAK DOĞUM HASTANESİ (KARŞISI)","KONAK","SÜMER","451 SK. ÜZERİNDE; ESKİ KONAK DOĞUM HASTANESİ KARŞISINDAKİ OTOPARK CEBİ KISMINDA","07:00","21:00","25","38.4152508254365","27.1294744544427"
"GÜNDOĞDU -2","KONAK","KÜLTÜR","PLEVNE BULVARININ ; CUMHURİYET BULVARI  İLE TALATPAŞA BULVARI KESİŞİMİ ARASINDAKİ KISMINDA","07:00","22:00","34","38.4343417517703","27.1406749807432"
